Flight time,Altitude,Home Distance,Wind Direction,Unnamed: 4,Wind Speed,Unnamed: 6,Event,Wind Direction Modified,Average Wind Direction,Average Wind Speed
A,00m 15s,3.9 m,,255°,,  2.88 m/s,,,,
B,00m 20s,3.9 m,,257°,,  3.54 m/s,,,,
C,00m 40s,4.1 m,,256°,,  3.72 m/s,,,,
D,00m 45s,4.1 m,,263°,,  3.34 m/s,,,,
E,00m 50s,4.1 m,,266°,,  2.78 m/s,,,,
F,00m 55s,4.1 m,,283°,,  2.64 m/s,,,,
G,01m 00s,4.1 m,,286°,,  3.14 m/s,,,,
H,01m 05s,4.2 m,,303°,,  4.18 m/s,,,,
I,01m 10s,4.2 m,,301°,,  4.15 m/s,,,,
J,01m 15s,4.7 m,,300°,,  3.63 m/s,,,,
K,01m 25s,6.9 m,,288°,,  5.54 m/s,,,,
L,01m 30s,6.9 m,,281°,,  4.87 m/s,,,,
M,01m 35s,6.8 m,,285°,,  4.16 m/s,,,,
N,01m 40s,6.8 m,,290°,,  4.45 m/s,,,,
O,01m 45s,10.8 m,,292°,,  3.75 m/s,,,,
P,01m 55s,11.9 m,,280°,,  4.76 m/s,,,,
Q,02m 00s,12.0 m,,297°,,  5.42 m/s,,,,
R,02m 05s,12.0 m,,291°,,  6.07 m/s,,,,
S,02m 10s,11.9 m,,293°,,  5.05 m/s,,,,
T,02m 15s,14.0 m,,296°,,  5.49 m/s,,,,
U,02m 30s,18.9 m,,296°,,  6.53 m/s,,,,
V,02m 35s,18.8 m,,285°,,  6.00 m/s,,,,
W,02m 40s,18.8 m,,276°,,  5.78 m/s,,,,
X,03m 00s,18.8 m,,278°,,  6.04 m/s,,,,
Y,03m 05s,18.9 m,,284°,,  6.16 m/s,,,,
Z,03m 10s,18.9 m,,282°,,  6.13 m/s,,,,
a,03m 15s,18.9 m,,293°,,  5.75 m/s,,,,
b,03m 20s,18.8 m,,287°,,  5.31 m/s,,,,
c,03m 25s,18.9 m,,285°,,  6.34 m/s,,,,
d,03m 30s,19.1 m,,279°,,  6.43 m/s,,,,
e,03m 35s,19.1 m,,297°,,  6.10 m/s,,,,
f,03m 55s,18.9 m,,296°,,  4.21 m/s,,,,
g,04m 20s,19.2 m,,297°,,  6.99 m/s,,,,
h,04m 25s,19.2 m,,286°,,  6.60 m/s,,,,
i,04m 30s,19.3 m,,290°,,  6.89 m/s,,,,
j,04m 35s,19.3 m,,291°,,  6.49 m/s,,,,
k,04m 40s,19.1 m,,301°,,  6.30 m/s,,,,
l,04m 45s,19.2 m,,300°,,  6.68 m/s,,,,
m,04m 50s,19.2 m,,301°,,  6.82 m/s,,,,
n,04m 55s,19.0 m,,295°,,  5.69 m/s,,,,
o,05m 10s,19.3 m,,294°,,  6.66 m/s,,,,
p,05m 15s,19.2 m,,291°,,  6.19 m/s,,,,
q,05m 20s,19.4 m,,295°,,  7.60 m/s,,,,
r,05m 25s,30.5 m,,295°,,  7.30 m/s,,,,
s,06m 00s,34.7 m,,283°,,  6.33 m/s,,,,
t,06m 05s,35.0 m,,281°,,  7.45 m/s,,,,
u,06m 10s,35.0 m,,288°,,  7.00 m/s,,,,
v,06m 15s,34.9 m,,288°,,  7.39 m/s,,,,
w,06m 20s,35.0 m,,285°,,  7.33 m/s,,,,
x,06m 30s,46.7 m,,293°,,  7.40 m/s,,,,
y,06m 35s,46.7 m,,284°,,  7.23 m/s,,,,
z,06m 40s,46.8 m,,285°,,  7.75 m/s,,,,
A,06m 45s,46.6 m,,288°,,  7.31 m/s,,,,
B,07m 25s,12.3 m,,267°,,  5.09 m/s,,,,
C,07m 30s,12.3 m,,267°,,  5.39 m/s,,,,
D,07m 35s,12.7 m,,272°,,  6.07 m/s,,,,
E,07m 40s,12.6 m,,267°,,  4.13 m/s,,,,
F,07m 45s,12.6 m,,265°,,  5.20 m/s,,,,
G,07m 50s,12.6 m,,278°,,  5.71 m/s,,,,
H,07m 55s,12.6 m,,269°,,  6.28 m/s,,,,
I,08m 00s,12.6 m,,269°,,  5.88 m/s,,,,
J,08m 05s,12.5 m,,275°,,  5.54 m/s,,,,
K,08m 10s,12.4 m,,276°,,  5.52 m/s,,,,
L,08m 30s,12.9 m,,280°,,  6.76 m/s,,,,
M,08m 35s,12.8 m,,287°,,  6.74 m/s,,,,
N,08m 40s,12.7 m,,282°,,  6.27 m/s,,,,
O,08m 45s,13.1 m,,289°,,  7.50 m/s,,,,
P,09m 00s,12.9 m,,286°,,  6.85 m/s,,,,
Q,09m 05s,12.9 m,,284°,,  6.94 m/s,,,,
R,09m 10s,12.9 m,,280°,,  6.45 m/s,,,,
S,09m 15s,12.8 m,,285°,,  5.80 m/s,,,,
T,09m 20s,12.4 m,,291°,,  4.95 m/s,,,,
U,09m 25s,12.6 m,,287°,,  6.36 m/s,,,,
V,09m 30s,12.9 m,,290°,,  6.59 m/s,,,,
W,10m 00s,5.6 m,,261°,,  4.18 m/s,,,,
X,10m 05s,5.5 m,,269°,,  4.35 m/s,,,,
Y,10m 10s,5.5 m,,266°,,  3.91 m/s,,,,
Z,10m 15s,4.6 m,,269°,,  4.00 m/s,,,,
